Код,Номер распоряжения,Заказчик,ИНН Заказчика,Подрядчик,ИНН Подрядчика,Район,Адрес,Вид ограничения,Вид работ,Дата начала ограничения,Дата окончания ограничения,Дата снятия ограничения,Уточнение срока,Документы,Мониторинг,Основание,ПСП,МСК,Административное дело
211180,1061-зд от 04.08.2014,Спб гку 'дирекция транспортного строительства',7825342390,Оао 'метрострой',7813046910,Приморский,Туристская ул. (от ул. Оптиков до мебельной ул.),Полное закрытие дв.,-,20140807,20181231,20181204,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=57023&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=211180&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=0&p3=234&p4=211180,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=0&p3=58&p4=211180,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e211180&msk=0&t=1
236410,1865-зд от 20.10.2015,Ооо 'бп истейт-ланское',7841465462,Ао 'проммонолит',7803058547,Выборгский,Пр.энгельса (от новороссийской ул. До новосильцевского пер.),Огранич.движения,-,20151103,20170407,20170731,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=106694&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=236410&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=234&p3=234&p4=236410,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=58&p3=58&p4=236410,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e236410&msk=0&t=1
240940,2-зд от 13.01.2016,Комитет по строительству,7830002342,Комитет по строительству,7830002342,Василеостровский,Камская ул. (от 14-15 линий в.о. До 16-17 линий в.о.),Огранич.движения,-,20160120,20160629,20160310,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=118422&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=240940&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=468&p3=234&p4=240940,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=116&p3=53&p4=240940,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e240940&msk=0&t=1
241102,16-зд от 15.01.2016,Ооо 'ск 'новая линия',7801419734,Ооо 'решение',7801625550,Адмиралтейский,Подъездной пер. (у д.12 от ул.марата до загородного пр.),Огранич.движения,-,20160122,20160518,20190424,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=118836&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=241102&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=702&p3=234&p4=241102,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=169&p3=51&p4=241102,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e241102&msk=0&t=1
241940,47-зд от 29.01.2016,Ао 'талион',7808025538,Ооо 'пётр великий',7825382561,Адмиралтейский,Галерная ул. ((нечетная сторона) от сенатской пл. До замятина пер.),Огранич.движения,-,20160203,20170210,20170404,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=120658&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=241940&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=936&p3=234&p4=241940,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=220&p3=51&p4=241940,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e241940&msk=0&t=1
241954,48-зд от 29.01.2016,Ао 'талион',7808025538,Ооо 'пётр великий',7825382561,Адмиралтейский,Английская наб. (от сенатской пл. До замятина пер.),Огранич.движения,-,20160203,20170210,20170404,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=120661&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=241954&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=1170&p3=234&p4=241954,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=271&p3=53&p4=241954,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e241954&msk=0&t=1
244028,126-зд от 01.03.2016,Комитет по строительству,7830002342,Ооо 'улмис',7842473970,Василеостровский,Камская ул. От 14-15 линии в.о. До 16-17 линии в.о.),Огранич.движения,Работы по размещению временного ограждения,20160305,20161215,20200827,(этап 2),Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=124341&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=244028&t=1,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e243745&msk=0&t=1,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=1404&p3=234&p4=244028,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=324&p3=53&p4=244028,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e244028&msk=0&t=1
268254,2374-зд от 20.12.2016,Оао 'метрострой',7813046910,Оао 'метрострой',7813046910,Адмиралтейский,Театральная пл. (от ул. Глинки до наб. Крюкова канала),Полное закрытие дв.,-,20161223,20170227,20170714,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=174731&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=268254&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=1638&p3=234&p4=268254,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=377&p3=55&p4=268254,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e268254&msk=0&t=1
268255,2375-зд от 20.12.2016,Оао 'метрострой',7813046910,Оао 'метрострой',7813046910,Адмиралтейский,Театральная пл. (от ул. Глинки до восточного проезда театральной пл.),Полное закрытие дв.,-,20161223,20170227,20170713,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=174731&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=268255&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=1872&p3=234&p4=268255,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=432&p3=53&p4=268255,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e268255&msk=0&t=1
268257,2376-зд от 20.12.2016,Оао 'метрострой',7813046910,Оао 'метрострой',7813046910,Адмиралтейский,Ул.глинки (от ул. Декабристов до театральной пл.),Огранич.движения,-,20161223,20170227,20170713,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=174731&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=268257&t=1,-,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=2106&p3=234&p4=268257,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=485&p3=55&p4=268257,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e268257&msk=0&t=1
